Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
Rule[SPY realized volatility 20d],Rule,domain_rule,spy_rv_20d,none,none,holdout,1571,0.23297262889879058,raw_score,0.6014824651490764,0.80925333877514,,,,158,0.6708860759493671,0.2896174863387978,315,0.5968253968253968,0.5136612021857924,659,0.44461305007587254,0.8005464480874317,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[SPY Parkinson realized volatility 20d],Rule,domain_rule,spy_parkinson_rv_20d,none,none,holdout,1571,0.23297262889879058,raw_score,0.6278017233190802,0.8137360270276399,,,,158,0.7848101265822784,0.33879781420765026,315,0.6412698412698413,0.5519125683060109,699,0.41917024320457796,0.8005464480874317,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[SPY Garman-Klass realized volatility 20d],Rule,domain_rule,spy_garman_klass_rv_20d,none,none,holdout,1571,0.23297262889879058,raw_score,0.6230972653715359,0.8022515475137746,,,,158,0.8354430379746836,0.36065573770491804,315,0.6031746031746031,0.5191256830601093,754,0.3885941644562334,0.8005464480874317,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[VIX close],Rule,domain_rule,vix_close,none,none,holdout,1571,0.23297262889879058,raw_score,0.6326031416335401,0.8324388363603383,,,,158,0.7151898734177216,0.3087431693989071,315,0.6444444444444445,0.5546448087431693,611,0.4795417348608838,0.8005464480874317,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[VIX z-score 252d],Rule,domain_rule,vix_zscore_252d,none,none,holdout,1571,0.23297262889879058,raw_score,0.5991737949244991,0.8428383556674148,,,,158,0.6708860759493671,0.2896174863387978,315,0.5777777777777777,0.4972677595628415,616,0.47564935064935066,0.8005464480874317,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[VIX/realized volatility gap 20d],Rule,domain_rule,vix_minus_spy_rv_20d,none,none,holdout,1571,0.23297262889879058,raw_score,0.2348011834528706,0.42451307167312885,,,,158,0.27848101265822783,0.12021857923497267,315,0.23809523809523808,0.20491803278688525,1438,0.20375521557719053,0.8005464480874317,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,holdout,1571,0.23297262889879058,probability,0.6129948367240888,0.8121601705099426,0.13200418393679322,0.4224113004903706,0.03669703662582809,158,0.7468354430379747,0.3224043715846995,315,0.6476190476190476,0.5573770491803278,701,0.41797432239657634,0.8005464480874317,0.6313742655190774,0.0,1611.4324676310002,0.0,0.016856982000263088,1611.4493246130005,1611.4493246130005,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.9638761415976065, ""colsample_bytree"": 0.9971993024555394, ""gamma"": 0.0001105023452335592, ""learning_rate"": 0.015842748813287347, ""max_bin"": 817, ""max_delta_step"": 1, ""max_depth"": 7, ""min_child_weight"": 48.7503043944788, ""n_estimators"": 402, ""reg_alpha"": 5.138446923504145, ""reg_lambda"": 0.27533096962597137, ""scale_pos_weight"": 1.0, ""subsample"": 0.7916384903020361}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,holdout,1571,0.23297262889879058,probability,0.4559989845081834,0.7320975897331247,0.16979905685492236,0.569084159907105,0.12281534712408763,158,0.620253164556962,0.2677595628415301,315,0.49523809523809526,0.4262295081967213,890,0.3292134831460674,0.8005464480874317,0.5139222485335624,0.0,386.7928802720003,0.0,0.04128092300015851,386.83416119500043,386.83416119500043,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.743904900404369, ""colsample_bytree"": 0.9179496348098805, ""gamma"": 3.3676406817541684e-05, ""learning_rate"": 0.08850040653330693, ""max_bin"": 791, ""max_delta_step"": 0, ""max_depth"": 8, ""min_child_weight"": 0.0714293072131967, ""n_estimators"": 942, ""reg_alpha"": 0.007460669282028744, ""reg_lambda"": 87.46439286957852, ""scale_pos_weight"": 7.56595744680851, ""subsample"": 0.9534746183383094}",
XGBoost[Raw + TabPFN embeddings],XGBoost,classical,Raw + TabPFN embeddings,TabPFN,none,holdout,1571,0.23297262889879058,probability,0.5313075447156105,0.7458041403079155,0.156378499332305,0.5313578847490591,0.08402498650828757,158,0.6518987341772152,0.2814207650273224,315,0.5238095238095238,0.45081967213114754,833,0.3517406962785114,0.8005464480874317,0.5071438254130493,101.28040664399998,536.0414034310006,0.0,0.07309415700001409,536.1144975880006,637.3949042320006,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.6557066546956472, ""colsample_bytree"": 0.9887307907418297, ""gamma"": 0.00011271497507587927, ""learning_rate"": 0.003224196768428403, ""max_bin"": 601, ""max_delta_step"": 10, ""max_depth"": 8, ""min_child_weight"": 0.5468685745058192, ""n_estimators"": 1677, ""reg_alpha"": 0.01088833676458495, ""reg_lambda"": 1.0338227526235808, ""scale_pos_weight"": 2.750628554859509, ""subsample"": 0.9771155792161237}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,holdout,1571,0.23297262889879058,probability,0.5435969158265281,0.7508536834228965,0.16517907876226473,0.629129613155267,0.13198843536418253,158,0.6265822784810127,0.27049180327868855,315,0.5142857142857142,0.4426229508196721,850,0.3447058823529412,0.8005464480874317,0.4507916077795864,74.64631477300009,686.0600286939994,0.0,0.05736644499938848,686.1173951389987,760.7637099119988,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{""colsample_bylevel"": 0.965794744159495, ""colsample_bytree"": 0.8543669599878991, ""gamma"": 0.000487916790365637, ""learning_rate"": 0.008668224398556848, ""max_bin"": 165, ""max_delta_step"": 3, ""max_depth"": 6, ""min_child_weight"": 0.07003590571021803, ""n_estimators"": 1313, ""reg_alpha"": 3.692525569632977e-05, ""reg_lambda"": 0.2665639151820219, ""scale_pos_weight"": 1.0, ""subsample"": 0.9525159689356304}",
